,year,avg_vote,genre_1,genre_2,genre_2
658,1928,6.8,Drama,,
659,1927,5.3,Drama,,
660,1928,6.5,Drama,,
661,1928,7.2,Drama,Romance,
662,1928,6.7,Drama,,
663,1928,8.1,Biography,Drama,History
664,1928,7.5,Comedy,Drama,Romance
665,1928,7.1,Drama,War,
666,1928,6.4,Drama,,
667,1928,6.7,Crime,Drama,Film-Noir
668,1928,6.8,Drama,Romance,
669,1928,6.0,Comedy,Drama,
670,1928,3.5,Drama,,
671,1928,7.2,Drama,,
672,1928,7.0,Drama,History,Romance
673,1928,7.6,Comedy,Romance,
674,1928,6.2,Musical,Drama,
675,1928,6.2,Comedy,Romance,Sport
676,1928,7.7,Action,Comedy,Family
677,1928,7.6,Romance,Thriller,
678,1928,7.9,Action,Comedy,Drama
679,1928,7.4,Drama,,
680,1928,6.1,Action,Adventure,Drama
681,1928,6.8,Drama,Romance,
682,1928,6.0,Comedy,Drama,Romance
683,1928,6.5,Comedy,,
684,1928,6.9,Action,Adventure,Drama
685,1928,7.3,Drama,Romance,
686,1928,6.6,Action,Adventure,History
687,1927,6.5,Drama,,
688,1929,6.1,Drama,Romance,
689,1928,7.5,Drama,,
690,1928,7.2,Drama,Mystery,
691,1928,6.3,Crime,Drama,
692,1928,6.9,Drama,Romance,
693,1928,8.0,Drama,Romance,Thriller
694,1928,7.2,Drama,,
695,1929,6.9,Drama,,
696,1928,7.1,Drama,Fantasy,
697,1930,7.0,Drama,,
698,1929,5.8,Crime,,
699,1929,7.0,Drama,Musical,
700,1928,7.6,Drama,Romance,
701,1929,7.3,Drama,War,
702,1929,7.4,Crime,Drama,Romance
703,1929,5.5,Drama,,
704,1929,4.9,Mystery,,
705,1929,5.4,Comedy,Crime,Mystery
706,1929,5.6,Adventure,Drama,
707,1929,7.0,Crime,Thriller,
708,1929,6.2,Crime,Music,Romance
709,1929,6.4,Drama,Musical,
710,1929,5.7,Drama,Musical,Romance
711,1929,6.4,Drama,Mystery,Thriller
712,1929,6.0,Crime,Drama,Mystery
713,1929,6.7,Adventure,Drama,
714,1929,7.0,Comedy,Musical,
715,1929,6.4,Drama,,
716,1929,5.8,Drama,Romance,
717,1929,6.4,Comedy,,
718,1929,6.5,Drama,Musical,Romance
719,1929,5.9,Drama,,
720,1929,6.5,Adventure,Drama,Romance
721,1929,6.1,Music,Romance,War
722,1929,6.2,Biography,Drama,History
723,1928,6.2,Drama,History,Romance
724,1929,3.1,Comedy,Drama,Romance
725,1929,7.0,Drama,,
726,1929,7.2,Drama,Romance,
727,1929,6.8,Drama,Romance,
728,1929,6.6,Drama,,
729,1929,5.9,Action,Adventure,Romance
730,1929,6.6,Adventure,Drama,Romance
731,1929,6.0,Crime,Drama,
732,1929,7.3,Comedy,Drama,Romance
